Jugador 0, 2022-12-04 20:03:47.381029, Partida Estándar, 2022-12-04 20:03:47.381087
Jugador 1, 2022-12-04 20:03:47.381986, Partida Estándar, 2022-12-04 20:03:47.382009
Jugador 2, 2022-12-04 20:03:47.384596, Partida Versus, 2022-12-04 20:03:47.384619
Jugador 3, 2022-12-04 20:03:47.385032, Partida Rápida, 2022-12-04 20:03:47.385046
Jugador 4, 2022-12-04 20:03:47.385663, Partida Rápida, 2022-12-04 20:03:47.385696
Jugador 5, 2022-12-04 20:03:47.386126, Partida Estándar, 2022-12-04 20:03:47.386150
Jugador 6, 2022-12-04 20:03:47.386763, Partida Especial Navidad, 2022-12-04 20:03:47.387793
Jugador 7, 2022-12-04 20:03:47.387013, Partida Rápida, 2022-12-04 20:03:47.388192
Jugador 8, 2022-12-04 20:03:47.387762, Partida Estándar, 2022-12-04 20:03:47.388957
Jugador 9, 2022-12-04 20:03:47.388018, Partida Versus, 2022-12-04 20:03:47.389149
Jugador 10, 2022-12-04 20:03:47.388276, Partida Rápida, 2022-12-04 20:03:47.389518
Jugador 11, 2022-12-04 20:03:47.388633, Partida Especial Navidad, 2022-12-04 20:03:47.389588
Jugador 12, 2022-12-04 20:03:47.391486, Partida Estándar, 2022-12-04 20:03:47.391503
Jugador 13, 2022-12-04 20:03:47.391735, Partida Estándar, 2022-12-04 20:03:47.392187
Jugador 14, 2022-12-04 20:03:47.392163, Partida Especial Navidad, 2022-12-04 20:03:47.392452
Jugador 15, 2022-12-04 20:03:47.392660, Partida Rápida, 2022-12-04 20:03:47.392674
Jugador 16, 2022-12-04 20:03:47.394465, Partida Versus, 2022-12-04 20:03:47.394489
Jugador 18, 2022-12-04 20:03:47.395067, Partida Especial Navidad, 2022-12-04 20:03:47.395081
Jugador 17, 2022-12-04 20:03:47.394709, Partida Estándar, 2022-12-04 20:03:47.395404
Jugador 19, 2022-12-04 20:03:47.395585, Partida Versus, 2022-12-04 20:03:47.395599
Jugador 20, 2022-12-04 20:03:47.398424, Partida Rápida, 2022-12-04 20:03:47.398448
Jugador 21, 2022-12-04 20:03:47.398972, Partida Estándar, 2022-12-04 20:03:47.399010
Jugador 22, 2022-12-04 20:03:47.400603, Partida Rápida, 2022-12-04 20:03:47.400617
Jugador 23, 2022-12-04 20:03:47.400844, Partida Rápida, 2022-12-04 20:03:47.400853
Jugador 24, 2022-12-04 20:03:47.401692, Partida Versus, 2022-12-04 20:03:47.401717
Jugador 25, 2022-12-04 20:03:47.402810, Partida Rápida, 2022-12-04 20:03:47.402840
Jugador 26, 2022-12-04 20:03:47.403230, Partida Rápida, 2022-12-04 20:03:47.403245
Jugador 27, 2022-12-04 20:03:47.404552, Partida Versus, 2022-12-04 20:03:47.406503
Jugador 28, 2022-12-04 20:03:47.404787, Partida Rápida, 2022-12-04 20:03:47.407120
Jugador 29, 2022-12-04 20:03:47.409113, Partida Rápida, 2022-12-04 20:03:47.409134
Jugador 30, 2022-12-04 20:03:47.409760, Partida Estándar, 2022-12-04 20:03:47.409775
Jugador 31, 2022-12-04 20:03:47.410186, Partida Especial Navidad, 2022-12-04 20:03:47.410201
Jugador 32, 2022-12-04 20:03:47.410398, Partida Especial Navidad, 2022-12-04 20:03:47.412913
Jugador 33, 2022-12-04 20:03:47.410588, Partida Rápida, 2022-12-04 20:03:47.413204
Jugador 34, 2022-12-04 20:03:47.410762, Partida Especial Navidad, 2022-12-04 20:03:47.413389
