Jugador 6, 2022-12-04 20:03:47.387793, 2022-12-04 20:03:47.388080
Jugador 11, 2022-12-04 20:03:47.389588, 2022-12-04 20:03:47.389866
Jugador 14, 2022-12-04 20:03:47.392452, 2022-12-04 20:03:47.392500
Jugador 18, 2022-12-04 20:03:47.395081, 2022-12-04 20:03:47.395342
Jugador 31, 2022-12-04 20:03:47.410201, 2022-12-04 20:03:47.411752
Jugador 32, 2022-12-04 20:03:47.412913, 2022-12-04 20:03:47.413173
Jugador 34, 2022-12-04 20:03:47.413389, 2022-12-04 20:03:47.413441
Jugador 35, 2022-12-04 20:03:47.415648, 2022-12-04 20:03:47.420672
Jugador 36, 2022-12-04 20:03:47.420815, 2022-12-04 20:03:47.422675
Jugador 49, 2022-12-04 20:03:47.422930, 2022-12-04 20:03:47.423111
Jugador 39, 2022-12-04 20:03:47.423467, 2022-12-04 20:03:47.423780
Jugador 42, 2022-12-04 20:03:47.424506, 2022-12-04 20:03:47.424577
Jugador 43, 2022-12-04 20:03:47.424617, 2022-12-04 20:03:52.393648
Jugador 47, 2022-12-04 20:03:47.425380, 2022-12-04 20:03:52.393786
Jugador 51, 2022-12-04 20:03:47.426522, 2022-12-04 20:03:52.397171
Jugador 55, 2022-12-04 20:03:47.426748, 2022-12-04 20:03:52.399865
Jugador 61, 2022-12-04 20:03:47.430474, 2022-12-04 20:03:52.413167
Jugador 62, 2022-12-04 20:03:47.430709, 2022-12-04 20:03:52.417261
Jugador 64, 2022-12-04 20:03:47.431215, 2022-12-04 20:03:52.417331
Jugador 65, 2022-12-04 20:03:47.433305, 2022-12-04 20:03:52.425235
Jugador 69, 2022-12-04 20:03:47.436582, 2022-12-04 20:03:52.426876
Jugador 74, 2022-12-04 20:03:47.441541, 2022-12-04 20:03:52.427696
Jugador 77, 2022-12-04 20:03:47.445073, 2022-12-04 20:03:52.429210
Jugador 78, 2022-12-04 20:03:47.445698, 2022-12-04 20:03:52.429286
Jugador 87, 2022-12-04 20:03:47.448880, 2022-12-04 20:03:57.397702
Jugador 94, 2022-12-04 20:03:47.453659, 2022-12-04 20:03:57.397852
Jugador 95, 2022-12-04 20:03:47.453971, 2022-12-04 20:03:57.401281
Jugador 97, 2022-12-04 20:03:47.455853, 2022-12-04 20:03:57.401374
Jugador 99, 2022-12-04 20:03:47.456684, 2022-12-04 20:03:57.417276
Jugador 106, 2022-12-04 20:03:47.458514, 2022-12-04 20:03:57.421408
Jugador 101, 2022-12-04 20:03:47.457468, 2022-12-04 20:03:57.421517
Jugador 114, 2022-12-04 20:03:47.459962, 2022-12-04 20:03:57.429169
Jugador 117, 2022-12-04 20:03:47.460702, 2022-12-04 20:03:57.432062
Jugador 116, 2022-12-04 20:03:47.460311, 2022-12-04 20:03:57.432135
