Jugador 0, 2022-12-04 20:03:47.381087, 2022-12-04 20:03:47.381255
Jugador 1, 2022-12-04 20:03:47.382009, 2022-12-04 20:03:47.383455
Jugador 5, 2022-12-04 20:03:47.386150, 2022-12-04 20:03:47.387643
Jugador 8, 2022-12-04 20:03:47.388957, 2022-12-04 20:03:47.389307
Jugador 12, 2022-12-04 20:03:47.391503, 2022-12-04 20:03:47.392104
Jugador 13, 2022-12-04 20:03:47.392187, 2022-12-04 20:03:47.392552
Jugador 17, 2022-12-04 20:03:47.395404, 2022-12-04 20:03:47.395449
Jugador 21, 2022-12-04 20:03:47.399010, 2022-12-04 20:03:47.400524
Jugador 30, 2022-12-04 20:03:47.409775, 2022-12-04 20:03:47.410103
Jugador 45, 2022-12-04 20:03:47.425225, 2022-12-04 20:03:47.425276
Jugador 48, 2022-12-04 20:03:47.426314, 2022-12-04 20:03:47.426415
Jugador 57, 2022-12-04 20:03:47.429120, 2022-12-04 20:03:47.429378
Jugador 58, 2022-12-04 20:03:47.429503, 2022-12-04 20:03:47.429692
Jugador 59, 2022-12-04 20:03:47.429811, 2022-12-04 20:03:47.429858
Jugador 60, 2022-12-04 20:03:47.430095, 2022-12-04 20:03:47.430327
Jugador 68, 2022-12-04 20:03:47.436450, 2022-12-04 20:03:54.390124
Jugador 70, 2022-12-04 20:03:47.437015, 2022-12-04 20:03:54.390290
Jugador 72, 2022-12-04 20:03:47.438549, 2022-12-04 20:03:54.390734
Jugador 79, 2022-12-04 20:03:47.445801, 2022-12-04 20:03:54.393143
Jugador 81, 2022-12-04 20:03:47.446708, 2022-12-04 20:03:54.397299
Jugador 80, 2022-12-04 20:03:47.445994, 2022-12-04 20:03:54.397425
Jugador 84, 2022-12-04 20:03:47.447407, 2022-12-04 20:03:54.401285
Jugador 89, 2022-12-04 20:03:47.452418, 2022-12-04 20:03:54.407107
Jugador 91, 2022-12-04 20:03:47.452972, 2022-12-04 20:03:54.417192
Jugador 92, 2022-12-04 20:03:47.453315, 2022-12-04 20:03:54.429204
Jugador 103, 2022-12-04 20:03:47.457949, 2022-12-04 20:03:54.433745
Jugador 96, 2022-12-04 20:03:47.455032, 2022-12-04 20:03:54.433905
Jugador 104, 2022-12-04 20:03:47.458365, 2022-12-04 20:03:54.434085
Jugador 105, 2022-12-04 20:03:47.458440, 2022-12-04 20:03:54.434182
Jugador 111, 2022-12-04 20:03:47.459182, 2022-12-04 20:03:54.437251
