Jugador 3, 2022-12-04 20:03:47.385046, 2022-12-04 20:03:47.385096
Jugador 4, 2022-12-04 20:03:47.385696, 2022-12-04 20:03:47.386021
Jugador 7, 2022-12-04 20:03:47.388192, 2022-12-04 20:03:47.388790
Jugador 10, 2022-12-04 20:03:47.389518, 2022-12-04 20:03:47.389812
Jugador 15, 2022-12-04 20:03:47.392674, 2022-12-04 20:03:47.392886
Jugador 20, 2022-12-04 20:03:47.398448, 2022-12-04 20:03:47.398534
Jugador 22, 2022-12-04 20:03:47.400617, 2022-12-04 20:03:47.401057
Jugador 23, 2022-12-04 20:03:47.400853, 2022-12-04 20:03:47.401106
Jugador 25, 2022-12-04 20:03:47.402840, 2022-12-04 20:03:47.403138
Jugador 26, 2022-12-04 20:03:47.403245, 2022-12-04 20:03:47.405763
Jugador 28, 2022-12-04 20:03:47.407120, 2022-12-04 20:03:53.389879
Jugador 29, 2022-12-04 20:03:47.409134, 2022-12-04 20:03:53.389976
Jugador 33, 2022-12-04 20:03:47.413204, 2022-12-04 20:03:53.394156
Jugador 40, 2022-12-04 20:03:47.423799, 2022-12-04 20:03:53.394452
Jugador 44, 2022-12-04 20:03:47.424930, 2022-12-04 20:03:53.397136
Jugador 46, 2022-12-04 20:03:47.425326, 2022-12-04 20:03:53.405336
Jugador 52, 2022-12-04 20:03:47.426581, 2022-12-04 20:03:53.405620
Jugador 54, 2022-12-04 20:03:47.426695, 2022-12-04 20:03:53.405873
Jugador 37, 2022-12-04 20:03:47.426936, 2022-12-04 20:03:53.409284
Jugador 56, 2022-12-04 20:03:47.426853, 2022-12-04 20:03:53.409383
Jugador 63, 2022-12-04 20:03:47.430952, 2022-12-04 20:03:59.397811
Jugador 86, 2022-12-04 20:03:47.447810, 2022-12-04 20:03:59.398208
Jugador 88, 2022-12-04 20:03:47.449243, 2022-12-04 20:03:59.398359
Jugador 90, 2022-12-04 20:03:47.452745, 2022-12-04 20:03:59.398706
Jugador 100, 2022-12-04 20:03:47.456227, 2022-12-04 20:03:59.402929
Jugador 102, 2022-12-04 20:03:47.457722, 2022-12-04 20:03:59.409574
Jugador 113, 2022-12-04 20:03:47.459615, 2022-12-04 20:03:59.411334
Jugador 98, 2022-12-04 20:03:47.456997, 2022-12-04 20:03:59.411560
