Jugador 2, 2022-12-04 20:03:47.384619, 2022-12-04 20:03:47.384865
Jugador 9, 2022-12-04 20:03:47.389149, 2022-12-04 20:03:47.389749
Jugador 16, 2022-12-04 20:03:47.394489, 2022-12-04 20:03:50.385368
Jugador 19, 2022-12-04 20:03:47.395599, 2022-12-04 20:03:50.393107
Jugador 24, 2022-12-04 20:03:47.401717, 2022-12-04 20:03:53.389582
Jugador 27, 2022-12-04 20:03:47.406503, 2022-12-04 20:03:53.396401
Jugador 38, 2022-12-04 20:03:47.423188, 2022-12-04 20:03:56.393149
Jugador 41, 2022-12-04 20:03:47.424079, 2022-12-04 20:03:56.399052
Jugador 50, 2022-12-04 20:03:47.426433, 2022-12-04 20:03:59.398044
Jugador 53, 2022-12-04 20:03:47.426645, 2022-12-04 20:03:59.401257
Jugador 66, 2022-12-04 20:03:47.435643, 2022-12-04 20:04:02.401821
Jugador 67, 2022-12-04 20:03:47.436040, 2022-12-04 20:04:02.404603
Jugador 71, 2022-12-04 20:03:47.437243, 2022-12-04 20:04:05.406070
Jugador 73, 2022-12-04 20:03:47.441265, 2022-12-04 20:04:05.406335
Jugador 75, 2022-12-04 20:03:47.442141, 2022-12-04 20:04:08.410326
Jugador 76, 2022-12-04 20:03:47.443625, 2022-12-04 20:04:08.410560
Jugador 82, 2022-12-04 20:03:47.447030, 2022-12-04 20:04:11.413613
Jugador 83, 2022-12-04 20:03:47.447341, 2022-12-04 20:04:11.413763
Jugador 85, 2022-12-04 20:03:47.447664, 2022-12-04 20:04:14.417979
Jugador 93, 2022-12-04 20:03:47.453434, 2022-12-04 20:04:14.418359
Jugador 107, 2022-12-04 20:03:47.458575, 2022-12-04 20:04:17.421565
Jugador 108, 2022-12-04 20:03:47.458633, 2022-12-04 20:04:17.421642
Jugador 109, 2022-12-04 20:03:47.458815, 2022-12-04 20:04:20.425300
Jugador 110, 2022-12-04 20:03:47.459058, 2022-12-04 20:04:20.425377
Jugador 112, 2022-12-04 20:03:47.459388, 2022-12-04 20:04:23.429448
Jugador 115, 2022-12-04 20:03:47.460084, 2022-12-04 20:04:23.429695
Jugador 118, 2022-12-04 20:03:47.461055, 2022-12-04 20:04:26.433269
Jugador 119, 2022-12-04 20:03:47.461129, 2022-12-04 20:04:26.433413
