Jugador 2, 2022-12-04 20:03:50.385100
Jugador 9, 2022-12-04 20:03:50.392909
Jugador 11, 2022-12-04 20:03:52.393093
Jugador 6, 2022-12-04 20:03:52.393341
Jugador 14, 2022-12-04 20:03:52.397012
Jugador 18, 2022-12-04 20:03:52.399722
Jugador 31, 2022-12-04 20:03:52.412994
Jugador 32, 2022-12-04 20:03:52.416985
Jugador 34, 2022-12-04 20:03:52.417170
Jugador 35, 2022-12-04 20:03:52.425044
Jugador 36, 2022-12-04 20:03:52.426608
Jugador 49, 2022-12-04 20:03:52.427544
Jugador 39, 2022-12-04 20:03:52.428995
Jugador 42, 2022-12-04 20:03:52.429135
Jugador 16, 2022-12-04 20:03:53.388723
Jugador 4, 2022-12-04 20:03:53.389295
Jugador 3, 2022-12-04 20:03:53.389774
Jugador 7, 2022-12-04 20:03:53.393956
Jugador 10, 2022-12-04 20:03:53.394276
Jugador 19, 2022-12-04 20:03:53.396220
Jugador 15, 2022-12-04 20:03:53.396978
Jugador 20, 2022-12-04 20:03:53.405017
Jugador 23, 2022-12-04 20:03:53.405447
Jugador 22, 2022-12-04 20:03:53.405715
Jugador 25, 2022-12-04 20:03:53.409005
Jugador 26, 2022-12-04 20:03:53.409165
Jugador 0, 2022-12-04 20:03:54.389472
Jugador 5, 2022-12-04 20:03:54.389815
Jugador 1, 2022-12-04 20:03:54.390609
Jugador 8, 2022-12-04 20:03:54.392982
Jugador 12, 2022-12-04 20:03:54.396993
Jugador 13, 2022-12-04 20:03:54.397170
Jugador 17, 2022-12-04 20:03:54.401014
Jugador 21, 2022-12-04 20:03:54.406895
Jugador 30, 2022-12-04 20:03:54.417020
Jugador 45, 2022-12-04 20:03:54.429023
Jugador 58, 2022-12-04 20:03:54.433026
Jugador 48, 2022-12-04 20:03:54.433484
Jugador 59, 2022-12-04 20:03:54.433618
Jugador 57, 2022-12-04 20:03:54.433991
Jugador 60, 2022-12-04 20:03:54.436989
Jugador 24, 2022-12-04 20:03:56.392901
Jugador 27, 2022-12-04 20:03:56.398851
Jugador 43, 2022-12-04 20:03:57.397089
Jugador 47, 2022-12-04 20:03:57.397466
Jugador 51, 2022-12-04 20:03:57.401007
Jugador 55, 2022-12-04 20:03:57.401171
Jugador 61, 2022-12-04 20:03:57.417051
Jugador 64, 2022-12-04 20:03:57.421001
Jugador 62, 2022-12-04 20:03:57.421257
Jugador 65, 2022-12-04 20:03:57.428994
Jugador 69, 2022-12-04 20:03:57.431720
Jugador 74, 2022-12-04 20:03:57.431941
Jugador 77, 2022-12-04 20:03:57.433007
Jugador 78, 2022-12-04 20:03:57.433348
Jugador 28, 2022-12-04 20:03:59.396116
Jugador 29, 2022-12-04 20:03:59.396753
Jugador 40, 2022-12-04 20:03:59.397275
Jugador 38, 2022-12-04 20:03:59.397583
Jugador 33, 2022-12-04 20:03:59.398546
Jugador 41, 2022-12-04 20:03:59.401010
Jugador 44, 2022-12-04 20:03:59.402289
Jugador 52, 2022-12-04 20:03:59.409022
Jugador 54, 2022-12-04 20:03:59.409341
Jugador 46, 2022-12-04 20:03:59.411069
Jugador 37, 2022-12-04 20:03:59.413010
Jugador 56, 2022-12-04 20:03:59.413264
Jugador 68, 2022-12-04 20:04:01.397028
Jugador 70, 2022-12-04 20:04:01.397253
Jugador 72, 2022-12-04 20:04:01.397387
Jugador 79, 2022-12-04 20:04:01.397474
Jugador 80, 2022-12-04 20:04:01.401120
Jugador 81, 2022-12-04 20:04:01.403906
Jugador 84, 2022-12-04 20:04:01.405035
Jugador 89, 2022-12-04 20:04:01.413004
Jugador 91, 2022-12-04 20:04:01.420999
Jugador 92, 2022-12-04 20:04:01.433005
Jugador 103, 2022-12-04 20:04:01.438555
